configuration id, instance id, performance
2,97, 300.073
2,98, 300.009
2,99, 43.818
3,0, 300.025
3,1, 300.049
3,2, 300.023
3,3, 300.056
3,4, 3.2542
3,5, 300.069
3,6, 300.074
3,7, 300.074
3,8, 300.07
3,9, 300.061
3,10, 300.072
3,11, 300.083
3,12, 300.092
3,13, 300.016
3,14, 300.163
3,15, 300.244
3,16, 300.178
3,17, 300.079
3,18, 300.178
3,19, 300.077
3,20, 300.069
3,21, 300.08
3,22, 300.028
3,23, 300.083
3,24, 300.077
3,25, 21.8795
3,26, 39.8127
3,27, 300.075
3,28, 300.079
3,29, 300.083
3,30, 300.101
3,31, 300.079
3,32, 300.075
3,33, 300.074
3,34, 300.066
3,35, 300.082
3,36, 300.26
3,37, 6.8552
3,38, 44.6664
3,39, 5.991
3,40, 300.085
3,41, 300.083
3,42, 300.029
3,43, 233.755
3,44, 300.069
3,45, 145.965
3,46, 300.372
3,47, 300.045
3,48, 300.063
3,49, 300.067
3,50, 300.08
3,51, 29.6637
3,52, 300.084
3,53, 300.109
3,54, 300.093
3,55, 300.141
3,56, 300.088
3,57, 300.078
3,58, 300.159
3,59, 300.081
3,60, 300.083
3,61, 300.016
3,62, 300.03
3,63, 300.085
3,64, 13.8755
3,65, 300.076
3,66, 300.076
3,67, 300.076
3,68, 300.088
3,69, 300.113
3,70, 300.078
3,71, 300.06
3,72, 79.3504
3,73, 300.023
3,74, 300.076
3,75, 300.109
3,76, 300.077
3,77, 17.137
3,78, 300.08
3,79, 239.783
3,80, 300.097
3,81, 300.027
3,82, 300.09
3,83, 300.068
3,84, 300.115
3,85, 200.442
3,86, 300.078
3,87, 300.124
3,88, 300.077
3,89, 1.6792
3,90, 1.277
3,91, 300.112
3,92, 300.033
3,93, 300.084
3,94, 300.107
3,95, 300.095
3,96, 300.129
3,97, 300.112
3,98, 300.114
3,99, 114.977
4,0, 229.67
4,1, 300.124
4,2, 300.102
4,3, 300.107
4,4, 300.12
4,5, 300.335
4,6, 300.125
4,7, 300.134
4,8, 300.118
4,9, 300.114
4,10, 300.117
4,11, 300.115
4,12, 300.105
4,13, 110.71
4,14, 300.114
4,15, 300.117
4,16, 300.109
4,17, 300.107
4,18, 300.114
4,19, 298.665
4,20, 300.04
4,21, 300.028
4,22, 300.116
4,23, 300.106
4,24, 101.894
4,25, 63.1323
4,26, 44.5927
4,27, 300.135
4,28, 300.142
4,29, 300.192
4,30, 300.095
4,31, 300.038
4,32, 300.044
4,33, 300.145
4,34, 300.154
4,35, 300.142
4,36, 177.069
4,37, 4.953
4,38, 23.6183
4,39, 5.1476
4,40, 300.04
4,41, 255.341
4,42, 300.055
4,43, 300.134
4,44, 261.334
4,45, 300.124
4,46, 300.111
4,47, 300.048
4,48, 300.127
4,49, 80.4546
4,50, 300.101
4,51, 15.8716
4,52, 300.037
4,53, 300.125
4,54, 300.076
4,55, 300.034
4,56, 300.049
4,57, 300.147
4,58, 300.041
4,59, 300.041
4,60, 300.029
4,61, 300.042
4,62, 300.079
4,63, 300.038
4,64, 34.3665
4,65, 300.046
4,66, 300.079
4,67, 300.04
4,68, 300.076
4,69, 114.833
4,70, 300.044
4,71, 300.137
4,72, 105.253
4,73, 300.081
4,74, 300.026
4,75, 300.061
4,76, 95.2134
4,77, 3.3583
4,78, 300.167
4,79, 91.862
4,80, 300.041
4,81, 300.098
4,82, 300.05
4,83, 300.05
4,84, 18.1144
4,85, 300.064
4,86, 300.04
4,87, 300.055
4,88, 300.051
4,89, 2.2399
4,90, 300.057
4,91, 300.142
4,92, 300.043
4,93, 300.037
4,94, 300.107
4,95, 71.4927
4,96, 300.027
4,97, 300.126
4,98, 300.035
4,99, 50.8277
5,0, 300.108
5,1, 300.054
5,2, 300.075
5,3, 300.071
5,4, 300.086
5,5, 300.068
5,6, 300.079
5,7, 300.073
5,8, 300.085
5,9, 300.074
5,10, 300.037
5,11, 300.068
5,12, 300.075
5,13, 300.075
5,14, 300.075
5,15, 300.075
5,16, 300.08
5,17, 300.041
5,18, 300.072
5,19, 300.086
5,20, 300.033
5,21, 300.021
5,22, 300.069
5,23, 300.084
5,24, 300.089
5,25, 300.074
5,26, 300.06
5,27, 300.073
5,28, 300.054
5,29, 300.024
5,30, 300.076
5,31, 300.064
5,32, 300.074
5,33, 300.17
5,34, 300.086
5,35, 300.083
5,36, 300.198
5,37, 300.087
5,38, 300.138
5,39, 300.082
5,40, 300.074
5,41, 300.104
5,42, 300.025
5,43, 300.041
5,44, 300.018
5,45, 300.072
5,46, 300.075
5,47, 300.075
5,48, 300.05
5,49, 300.062
5,50, 300.077
5,51, 300.083
5,52, 300.139
5,53, 300.028
5,54, 300.007
5,55, 300.07
5,56, 300.088
5,57, 300.065
5,58, 300.062
5,59, 300.084
5,60, 300.048
5,61, 300.087
5,62, 300.081
5,63, 300.076
5,64, 300.075
5,65, 300.079
5,66, 300.045
5,67, 300.077
5,68, 300.034
5,69, 300.042
5,70, 300.064
5,71, 300.09
5,72, 300.017
5,73, 300.07
5,74, 300.075
5,75, 300.072
5,76, 300.074
5,77, 300.075
5,78, 300.053
5,79, 300.044
5,80, 300.012
5,81, 300.1
5,82, 300.075
5,83, 300.069
5,84, 300.096
5,85, 300.039
5,86, 300.067
5,87, 300.074
5,88, 300.025
5,89, 300.082
5,90, 159.939
5,91, 300.083
5,92, 300.103
5,93, 300.081
5,94, 300.099
5,95, 300.061
5,96, 300.057
5,97, 300.038
5,98, 300.074
5,99, 300.066
6,0, 3.1502
6,1, 35.5267
6,2, 8.0488
6,3, 1.6065
6,4, 0.6209
6,5, 3.7382
6,6, 5.0093
6,7, 15.5049
6,8, 15.3326
6,9, 27.9993
6,10, 18.8672
6,11, 2.9512
6,12, 7.8024
6,13, 1.5062
6,14, 12.2795
6,15, 8.1067
6,16, 31.2379
6,17, 7.0598
6,18, 60.4055
6,19, 2.8059
6,20, 21.5207
6,21, 5.6104
6,22, 16.4504
6,23, 6.9651
6,24, 1.6316
6,25, 0.7407
6,26, 1.8153
6,27, 1.3697
6,28, 7.0167
6,29, 3.5535
6,30, 29.0962
6,31, 4.5044
6,32, 28.5689
6,33, 8.1914
6,34, 12.1337
6,35, 15.9761
6,36, 2.3161
6,37, 1.2919
6,38, 1.3708
6,39, 1.1616
6,40, 1.3001
6,41, 5.03
6,42, 20.7595
6,43, 2.7392
6,44, 3.3308
6,45, 2.9649
6,46, 3.4119
6,47, 5.4635
6,48, 10.7319
6,49, 5.1475
6,50, 18.828
6,51, 2.3073
6,52, 4.8214
6,53, 3.5226
6,54, 28.916
6,55, 1.9376
6,56, 6.9662
6,57, 19.2999
6,58, 2.4004
6,59, 19.368
6,60, 15.4254
