,seed,incumbent,challenger,selected_instances,additional_time,selection
552,7,65,95,10,3.0286999999999997,discrimination-1.67
553,7,65,98,10,1.7982,discrimination-1.67
554,3,20,5,10,2.9050000000000002,discrimination-1.45
555,3,20,7,10,1.0235999999999998,discrimination-1.45
556,3,20,16,10,8.7876,discrimination-1.45
557,3,20,17,10,3.1563,discrimination-1.45
558,3,20,18,10,1.5774000000000001,discrimination-1.45
559,3,20,21,10,1.9596999999999998,discrimination-1.45
560,3,20,24,10,2.4662,discrimination-1.45
561,3,20,34,10,1.2395,discrimination-1.45
562,3,20,35,10,5.040000000000002,discrimination-1.45
563,3,20,41,10,3.8016999999999994,discrimination-1.45
564,3,20,43,10,2.5991000000000004,discrimination-1.45
565,3,20,45,10,1.8768999999999998,discrimination-1.45
566,3,20,62,10,4.3429,discrimination-1.45
567,3,20,63,10,2.3817,discrimination-1.45
568,3,20,65,10,3.1807999999999996,discrimination-1.45
569,3,20,80,10,1.677,discrimination-1.45
570,3,20,82,10,3.256,discrimination-1.45
571,3,20,86,10,4.268800000000001,discrimination-1.45
572,3,20,88,10,1.9011,discrimination-1.45
573,3,20,99,10,3.9558999999999997,discrimination-1.45
574,1,14,1,10,1.5325,discrimination-1.8900000000000001
575,1,14,18,10,0.8797999999999999,discrimination-1.8900000000000001
576,1,14,21,10,0.9965999999999999,discrimination-1.8900000000000001
577,1,14,35,10,3.0417,discrimination-1.8900000000000001
578,1,14,36,10,1.1542,discrimination-1.8900000000000001
579,1,14,41,10,2.8937000000000004,discrimination-1.8900000000000001
580,1,14,47,10,0.9112999999999999,discrimination-1.8900000000000001
581,1,14,61,10,1.3366,discrimination-1.8900000000000001
582,1,14,64,10,0.7809,discrimination-1.8900000000000001
583,1,14,73,10,1.7421000000000002,discrimination-1.8900000000000001
584,1,14,77,4,0.2701,discrimination-1.8900000000000001
585,1,14,82,10,3.0198000000000005,discrimination-1.8900000000000001
586,1,14,95,10,3.8240999999999996,discrimination-1.8900000000000001
587,3,14,1,10,83.6545,discrimination-1.34
588,3,14,3,10,714.4620000000001,discrimination-1.34
589,3,14,7,10,2.0532999999999997,discrimination-1.34
590,3,14,10,10,1.4365999999999999,discrimination-1.34
591,3,14,18,10,114.2676,discrimination-1.34
592,3,14,22,10,1.1681000000000001,discrimination-1.34
593,3,14,24,10,262.9191,discrimination-1.34
594,3,14,31,10,302.7633,discrimination-1.34
595,3,14,36,10,0.1791,discrimination-1.34
596,3,14,42,10,600.7323,discrimination-1.34
597,3,14,43,10,768.5808999999999,discrimination-1.34
598,3,14,47,10,1.535,discrimination-1.34
599,3,14,61,10,794.3644,discrimination-1.34
600,3,14,64,10,59.244299999999996,discrimination-1.34
601,3,14,73,10,522.7324,discrimination-1.34
602,3,14,77,10,1.8813,discrimination-1.34
603,3,14,80,10,2.4771000000000005,discrimination-1.34
604,3,14,98,10,608.6577,discrimination-1.34
605,3,20,5,10,4.6177,discrimination-1.56
606,3,20,7,10,1.0083,discrimination-1.56
607,3,20,16,10,1.3822,discrimination-1.56
608,3,20,17,10,3.5583,discrimination-1.56
609,3,20,18,10,1.6917,discrimination-1.56
610,3,20,21,10,1.9596999999999998,discrimination-1.56
611,3,20,24,10,1.8471,discrimination-1.56
612,3,20,34,10,1.7284,discrimination-1.56
613,3,20,35,10,5.994200000000001,discrimination-1.56
614,3,20,41,10,2.8137999999999996,discrimination-1.56
615,3,20,43,10,3.0771000000000006,discrimination-1.56
616,3,20,45,10,1.8768999999999998,discrimination-1.56
617,3,20,62,10,3.7052000000000005,discrimination-1.56
618,3,20,63,10,3.0167,discrimination-1.56
619,3,20,65,10,3.1382000000000003,discrimination-1.56
620,3,20,80,10,1.677,discrimination-1.56
621,3,20,82,10,2.0450999999999997,discrimination-1.56
622,3,20,86,10,4.7399,discrimination-1.56
623,3,20,88,10,1.9267,discrimination-1.56
624,3,20,99,10,2.0863,discrimination-1.56
625,0,14,3,10,267.49330000000003,discrimination-2.0
626,0,14,7,10,1.0568,discrimination-2.0
627,0,14,10,10,8.316,discrimination-2.0
628,0,14,12,10,1.5515000000000003,discrimination-2.0
629,0,14,24,10,1.2542,discrimination-2.0
630,0,14,31,10,366.2034,discrimination-2.0
631,0,14,36,10,368.1204,discrimination-2.0
632,0,14,43,2,0.8821000000000001,discrimination-2.0
633,0,14,64,10,301.25,discrimination-2.0
634,0,14,77,10,845.2615999999998,discrimination-2.0
635,0,14,88,10,271.2711,discrimination-2.0
636,0,14,98,10,1.9485999999999999,discrimination-2.0
637,0,14,99,10,1.3964999999999999,discrimination-2.0
638,7,65,1,10,2.5528,discrimination-1.78
639,7,65,17,10,2.4448,discrimination-1.78
640,7,65,18,10,2.02,discrimination-1.78
641,7,65,22,10,1.2777,discrimination-1.78
642,7,65,24,10,2.1,discrimination-1.78
643,7,65,31,10,2.8562999999999996,discrimination-1.78
