,seed,incumbent,challenger,selected_instances,additional_time,selection
0,6,89,15,1,927.4309999999999,discrimination-1.12
1,6,89,21,1,4340.239,discrimination-1.12
2,6,89,95,10,44797.061299999994,discrimination-1.12
3,6,89,15,1,927.4309999999999,variance
4,6,89,21,1,9583.952,variance
5,6,89,95,10,49119.6165,variance
6,2,89,15,10,34891.467,uncertainty
7,2,89,95,2,1446.225,uncertainty
8,2,89,15,10,45044.349,random
9,2,89,95,10,11122.7317,random
10,2,89,15,10,34748.134,variance
11,2,89,95,10,49943.16569999999,variance
12,2,89,15,10,34748.134,discrimination-1.12
13,2,89,95,10,49943.16569999999,discrimination-1.12
14,6,89,15,1,862.456,uncertainty
15,6,89,21,10,49625.157999999996,uncertainty
16,6,89,95,10,41588.010700000006,uncertainty
17,6,89,15,10,37938.899,random
18,6,89,21,3,2566.69,random
19,6,89,95,10,1455.706,random
20,2,89,15,10,11097.926,udd-1.4-0.2
21,2,89,95,2,2050.7827,udd-1.4-0.2
22,6,89,15,1,764.925,udd-1.4-0.2
23,6,89,21,1,5218.84,udd-1.4-0.2
24,6,89,95,10,12482.6184,udd-1.4-0.2
25,3,48,9,10,59147.081,random
26,3,48,15,10,0.0,random
27,3,48,50,10,34497.501,random
28,3,48,89,3,15761.985,random
29,3,48,9,10,46805.87100000001,discrimination-1.12
30,3,48,15,10,28621.988,discrimination-1.12
31,3,48,50,10,41278.356,discrimination-1.12
32,3,48,89,6,30616.708000000002,discrimination-1.12
33,3,48,9,10,40573.441000000006,variance
34,3,48,15,10,28621.988,variance
35,3,48,50,10,41498.368,variance
36,3,48,89,10,23212.163,variance
37,3,48,9,10,20890.066,uncertainty
38,3,48,15,10,18918.134,uncertainty
39,3,48,50,10,19643.317,uncertainty
40,3,48,89,7,20492.671000000002,uncertainty
41,7,15,6,3,7239.774,random
42,7,15,21,2,20403.017,random
43,7,15,34,10,16421.871,random
44,7,15,72,10,23254.844000000005,random
45,7,15,89,10,15755.669,random
46,7,15,95,10,58998.13519999999,random
47,7,15,6,3,27097.7448,variance
48,7,15,21,1,10058.15,variance
49,7,15,34,10,16523.490999999998,variance
50,7,15,72,10,10740.787,variance
51,7,15,89,10,9161.7888,variance
52,7,15,95,10,54751.8664,variance
53,7,15,6,1,1423.917,uncertainty
54,7,15,21,3,1948.959,uncertainty
55,7,15,34,10,14001.549,uncertainty
56,7,15,72,9,37260.85799999999,uncertainty
57,7,15,89,10,17040.025,uncertainty
58,7,15,95,10,49417.067800000004,uncertainty
59,7,15,6,5,3617.6240000000003,discrimination-1.12
60,7,15,21,7,12909.3588,discrimination-1.12
61,7,15,34,10,16523.490999999998,discrimination-1.12
62,7,15,72,10,10740.787,discrimination-1.12
63,7,15,89,10,9161.7888,discrimination-1.12
64,7,15,95,10,54751.8664,discrimination-1.12
65,3,48,9,10,42197.267,udd-1.4-0.2
66,3,48,15,10,18838.489999999998,udd-1.4-0.2
67,3,48,50,10,10204.178999999998,udd-1.4-0.2
68,3,48,89,7,36600.561,udd-1.4-0.2
69,8,95,9,10,38061.9857,uncertainty
70,8,95,15,10,18457.9917,uncertainty
71,8,95,21,10,15197.4777,uncertainty
72,8,95,48,10,45149.463,uncertainty
73,8,95,89,10,10791.9917,uncertainty
74,8,95,9,10,36355.2639,discrimination-1.12
75,8,95,15,10,20367.101300000002,discrimination-1.12
76,8,95,21,10,53143.1333,discrimination-1.12
77,8,95,48,10,47555.009300000005,discrimination-1.12
78,8,95,89,10,28802.919700000002,discrimination-1.12
79,8,95,9,10,33117.342699999994,random
80,8,95,15,10,0.0,random
81,8,95,21,10,20490.010700000003,random
82,8,95,48,10,17042.203799999996,random
83,8,95,89,10,12787.5854,random
84,8,95,9,10,36355.2639,variance
85,8,95,15,10,20367.101300000002,variance
86,8,95,21,10,60557.2007,variance
87,8,95,48,10,47555.009300000005,variance
88,8,95,89,10,32854.414300000004,variance
89,7,15,6,1,9665.338,udd-1.4-0.2
90,7,15,21,9,12072.449,udd-1.4-0.2
91,7,15,34,10,11937.617,udd-1.4-0.2
92,7,15,72,10,26608.140999999996,udd-1.4-0.2
93,7,15,89,10,18281.373,udd-1.4-0.2
94,7,15,95,10,14182.7517,udd-1.4-0.2
95,8,95,9,10,47717.3341,udd-1.4-0.2
96,8,95,15,10,13118.554,udd-1.4-0.2
97,8,95,21,10,10634.045399999999,udd-1.4-0.2
98,8,95,48,10,45547.636699999995,udd-1.4-0.2
99,8,95,89,10,20629.0934,udd-1.4-0.2
100,4,66,0,10,82005.55300000001,variance
101,4,66,3,2,9211.168000000001,variance
102,4,66,9,10,50253.409,variance
103,4,66,13,2,18335.331,variance
104,4,66,14,10,84421.054,variance
105,4,66,26,3,22120.153,variance
