,seed,incumbent,challenger,selected_instances,additional_time,selection
127,5,22,49,10,21.788,uncertainty
128,5,22,58,10,32.5845,uncertainty
129,5,22,61,10,4961.2568,uncertainty
130,5,22,62,10,62.298199999999994,uncertainty
131,5,22,86,10,24.1216,uncertainty
132,0,84,6,9,19781.6247,uncertainty
133,0,84,14,10,3128.6405999999997,uncertainty
134,0,84,22,10,6173.1932,uncertainty
135,0,84,27,10,11539.3397,uncertainty
136,0,84,32,10,9648.4549,uncertainty
137,0,84,33,10,5709.5107,uncertainty
138,0,84,63,10,12950.7843,uncertainty
139,0,84,86,2,654.1079,uncertainty
140,0,84,6,6,13377.4383,udd-1.4-0.2
141,0,84,14,10,19022.0874,udd-1.4-0.2
142,0,84,22,10,3169.6369000000004,udd-1.4-0.2
143,0,84,27,10,16938.6242,udd-1.4-0.2
144,0,84,32,10,22602.768200000006,udd-1.4-0.2
145,0,84,33,10,27737.4223,udd-1.4-0.2
146,0,84,63,10,21046.5818,udd-1.4-0.2
147,0,84,86,2,652.1364,udd-1.4-0.2
148,5,22,16,10,5800.597499999999,udd-1.4-0.2
149,5,22,49,10,30.773400000000002,udd-1.4-0.2
150,5,22,58,10,35.155199999999994,udd-1.4-0.2
151,5,22,61,10,9765.2569,udd-1.4-0.2
152,5,22,62,10,8540.189000000002,udd-1.4-0.2
153,5,22,86,10,5144.9776999999995,udd-1.4-0.2
154,9,58,1,10,23993.847,uncertainty
155,9,58,16,10,9045.7081,uncertainty
156,9,58,22,10,1806.9147000000003,uncertainty
157,9,58,27,10,28786.348999999995,uncertainty
158,9,58,61,10,20725.374,uncertainty
159,9,58,63,10,26127.725,uncertainty
160,9,58,67,10,28522.117,uncertainty
161,9,58,86,10,466.55559999999997,uncertainty
162,9,58,1,10,19795.846,udd-1.4-0.2
163,9,58,16,10,16735.776500000004,udd-1.4-0.2
164,9,58,22,10,14123.710300000002,udd-1.4-0.2
165,9,58,27,10,20372.0288,udd-1.4-0.2
166,9,58,61,10,29328.702999999998,udd-1.4-0.2
167,9,58,63,7,20720.897,udd-1.4-0.2
168,9,58,67,3,7437.687,udd-1.4-0.2
169,9,58,86,10,20240.1956,udd-1.4-0.2
