,seed,incumbent,challenger,selected_instances,additional_time,selection
2549,2,72,34,10,216.39280000000002,udd-0.6000000000000001-1.2
2550,2,72,35,10,172.4509,udd-0.6000000000000001-1.2
2551,2,72,44,4,71.7205,udd-0.6000000000000001-1.2
2552,2,72,48,10,179.5642,udd-0.6000000000000001-1.2
2553,2,72,49,5,121.88740000000001,udd-0.6000000000000001-1.2
2554,2,72,50,1,18.4099,udd-0.6000000000000001-1.2
2555,2,72,52,1,6.7776,udd-0.6000000000000001-1.2
2556,2,72,77,1,319.60310000000004,udd-0.6000000000000001-1.2
2557,2,72,89,10,131.2811,udd-0.6000000000000001-1.2
2558,8,89,6,10,106.26100000000001,udd-0.6000000000000001-0.8
2559,8,89,17,10,114.0351,udd-0.6000000000000001-0.8
2560,8,89,28,10,49.7773,udd-0.6000000000000001-0.8
2561,8,89,34,1,9.694600000000001,udd-0.6000000000000001-0.8
2562,8,89,35,10,122.0732,udd-0.6000000000000001-0.8
2563,8,89,48,10,92.57509999999998,udd-0.6000000000000001-0.8
2564,8,89,49,10,300.7196,udd-0.6000000000000001-0.8
2565,8,89,50,5,200.83530000000002,udd-0.6000000000000001-0.8
2566,8,89,52,10,90.5444,udd-0.6000000000000001-0.8
2567,8,89,72,10,116.5097,udd-0.6000000000000001-0.8
2568,8,89,74,10,127.92770000000002,udd-0.6000000000000001-0.8
2569,8,89,83,9,114.59309999999999,udd-0.6000000000000001-0.8
2570,7,49,6,10,176.378,udd-0.6000000000000001-1.0
2571,7,49,17,10,57.77290000000001,udd-0.6000000000000001-1.0
2572,7,49,48,10,151.8953,udd-0.6000000000000001-1.0
2573,7,49,52,10,129.977,udd-0.6000000000000001-1.0
2574,7,49,72,10,126.9169,udd-0.6000000000000001-1.0
2575,7,49,74,1,8.2608,udd-0.6000000000000001-1.0
2576,7,49,83,10,210.2548,udd-0.6000000000000001-1.0
2577,7,49,89,10,166.84139999999996,udd-0.6000000000000001-1.0
2578,7,49,93,10,131.2306,udd-0.6000000000000001-1.0
2579,4,6,25,10,213.8236,udd-0.6000000000000001-1.0
2580,4,6,34,10,76.5337,udd-0.6000000000000001-1.0
2581,4,6,35,9,75.38159999999999,udd-0.6000000000000001-1.0
2582,4,6,44,10,198.494,udd-0.6000000000000001-1.0
2583,4,6,48,10,65.3853,udd-0.6000000000000001-1.0
2584,4,6,49,10,195.3734,udd-0.6000000000000001-1.0
2585,4,6,52,10,56.382799999999996,udd-0.6000000000000001-1.0
2586,4,6,72,10,90.0526,udd-0.6000000000000001-1.0
2587,4,6,74,10,111.0241,udd-0.6000000000000001-1.0
2588,4,6,83,10,136.63989999999998,udd-0.6000000000000001-1.0
2589,6,58,25,10,365.9994,udd-0.6000000000000001-1.0
2590,6,58,27,3,9.200800000000001,udd-0.6000000000000001-1.0
2591,6,58,28,10,99.04249999999998,udd-0.6000000000000001-1.0
2592,6,58,44,8,91.9487,udd-0.6000000000000001-1.0
2593,6,58,48,4,34.8185,udd-0.6000000000000001-1.0
2594,6,58,49,10,145.33440000000002,udd-0.6000000000000001-1.0
2595,6,58,50,3,245.78170000000003,udd-0.6000000000000001-1.0
2596,6,58,72,4,60.6834,udd-0.6000000000000001-1.0
2597,6,58,74,6,54.1714,udd-0.6000000000000001-1.0
2598,6,58,77,8,225.12099999999998,udd-0.6000000000000001-1.0
2599,6,58,83,10,195.71499999999997,udd-0.6000000000000001-1.0
2600,6,58,89,3,30.46,udd-0.6000000000000001-1.0
2601,6,58,93,10,352.6853,udd-0.6000000000000001-1.0
2602,6,58,96,8,239.7262,udd-0.6000000000000001-1.0
2603,0,72,6,4,195.2491,udd-0.6000000000000001-1.6
2604,0,72,34,10,283.5109,udd-0.6000000000000001-1.6
2605,0,72,35,10,279.39619999999996,udd-0.6000000000000001-1.6
2606,0,72,48,10,206.41620000000003,udd-0.6000000000000001-1.6
2607,0,72,52,3,77.42999999999999,udd-0.6000000000000001-1.6
2608,0,72,83,2,27.884,udd-0.6000000000000001-1.6
2609,3,58,6,10,207.50400000000002,udd-0.6000000000000001-1.2
2610,3,58,25,10,154.3718,udd-0.6000000000000001-1.2
2611,3,58,27,2,18.125799999999998,udd-0.6000000000000001-1.2
2612,3,58,34,7,116.0589,udd-0.6000000000000001-1.2
2613,3,58,44,10,361.8,udd-0.6000000000000001-1.2
2614,3,58,49,10,287.24460000000005,udd-0.6000000000000001-1.2
2615,3,58,50,7,751.1373,udd-0.6000000000000001-1.2
2616,3,58,74,10,324.2209,udd-0.6000000000000001-1.2
2617,3,58,83,10,793.3697999999999,udd-0.6000000000000001-1.2
2618,3,58,89,3,62.58519999999999,udd-0.6000000000000001-1.2
2619,5,89,6,10,257.5149,udd-0.6000000000000001-1.2
2620,5,89,25,10,287.18140000000005,udd-0.6000000000000001-1.2
2621,5,89,34,10,352.2194,udd-0.6000000000000001-1.2
2622,5,89,35,4,171.0269,udd-0.6000000000000001-1.2
2623,5,89,48,10,270.61220000000003,udd-0.6000000000000001-1.2
2624,5,89,50,8,571.2189,udd-0.6000000000000001-1.2
