,seed,incumbent,challenger,selected_instances,additional_time,selection
124,1,21,18,10,61928.136000000006,random
125,1,21,20,10,50281.198,random
126,1,21,22,10,11044.003,random
127,1,21,26,10,47627.218,random
128,1,21,34,10,39540.992,random
129,1,21,46,10,49099.687000000005,random
130,1,21,48,10,49206.634999999995,random
131,1,21,49,10,49159.881,random
132,1,21,50,10,37106.945,random
133,1,21,60,10,21845.625,random
134,1,21,63,10,37812.135500000004,random
135,1,21,70,10,58634.305,random
136,1,21,72,10,26512.095,random
137,1,21,79,1,10034.720000000001,random
138,1,21,0,10,70381.684,variance
139,1,21,3,10,53948.045,variance
140,1,21,9,10,28041.418999999998,variance
141,1,21,10,1,9479.468,variance
142,1,21,18,10,79174.263,variance
143,1,21,20,10,31666.167999999998,variance
144,1,21,22,10,59662.021,variance
145,1,21,26,10,50880.78,variance
146,1,21,34,10,52357.36099999999,variance
147,1,21,46,10,71018.392,variance
148,1,21,48,10,34722.50000000001,variance
149,1,21,49,10,46131.6927,variance
150,1,21,50,10,33916.757,variance
151,1,21,60,10,85767.198,variance
152,1,21,63,10,67930.941,variance
153,1,21,70,10,52697.4523,variance
154,1,21,72,10,73194.698,variance
155,1,21,79,1,12893.12,variance
156,1,21,0,10,70381.684,discrimination-1.12
157,1,21,3,10,84698.32899999998,discrimination-1.12
158,1,21,9,10,44399.839,discrimination-1.12
159,1,21,10,1,9479.468,discrimination-1.12
160,1,21,18,10,69865.50859999999,discrimination-1.12
161,1,21,20,10,31666.167999999998,discrimination-1.12
162,1,21,22,10,59662.021,discrimination-1.12
163,1,21,26,10,76895.11899999999,discrimination-1.12
164,1,21,34,10,52357.36099999999,discrimination-1.12
165,1,21,46,10,71018.392,discrimination-1.12
166,1,21,48,10,77900.986,discrimination-1.12
167,1,21,49,10,58423.130699999994,discrimination-1.12
168,1,21,50,10,33916.757,discrimination-1.12
169,1,21,60,10,85767.198,discrimination-1.12
170,1,21,63,10,76105.915,discrimination-1.12
171,1,21,70,10,34697.2523,discrimination-1.12
172,1,21,72,10,73194.698,discrimination-1.12
173,1,21,79,1,12893.12,discrimination-1.12
174,1,21,0,10,57075.342,udd-1.4-0.2
175,1,21,3,10,20891.259,udd-1.4-0.2
176,1,21,9,10,40714.763999999996,udd-1.4-0.2
177,1,21,10,1,10506.26,udd-1.4-0.2
178,1,21,18,10,46507.64199999999,udd-1.4-0.2
179,1,21,20,10,39289.682,udd-1.4-0.2
180,1,21,22,10,52196.948000000004,udd-1.4-0.2
181,1,21,26,10,61324.647000000004,udd-1.4-0.2
182,1,21,34,10,37521.87699999999,udd-1.4-0.2
183,1,21,46,10,36773.351,udd-1.4-0.2
184,1,21,48,10,35219.65899999999,udd-1.4-0.2
185,1,21,49,10,49511.0037,udd-1.4-0.2
186,1,21,50,10,42771.182,udd-1.4-0.2
187,1,21,60,10,72993.201,udd-1.4-0.2
188,1,21,63,10,71392.904,udd-1.4-0.2
189,1,21,70,10,49627.69899999999,udd-1.4-0.2
190,1,21,72,10,40935.716,udd-1.4-0.2
191,1,21,79,9,53968.8,udd-1.4-0.2
192,1,21,0,10,105269.94099999999,uncertainty
193,1,21,3,10,84548.718,uncertainty
194,1,21,9,10,66957.933,uncertainty
195,1,21,10,10,99106.03100000002,uncertainty
196,1,21,18,10,99226.878,uncertainty
197,1,21,20,10,93766.523,uncertainty
198,1,21,22,10,89249.58000000002,uncertainty
199,1,21,26,10,100294.38900000001,uncertainty
200,1,21,34,10,95174.709,uncertainty
201,1,21,46,10,98109.90800000001,uncertainty
202,1,21,48,10,55914.166999999994,uncertainty
203,1,21,49,10,82159.512,uncertainty
204,1,21,50,10,91680.622,uncertainty
205,1,21,60,10,81254.544,uncertainty
206,1,21,63,10,91770.02,uncertainty
207,1,21,70,10,98064.76599999999,uncertainty
208,1,21,72,10,68547.942,uncertainty
209,1,21,79,5,63696.07,uncertainty
