,y_true,y_pred,time,perf_eval,perf_cmp,instances,strategy,a_new,a_old,seed
0,False,False,0.0342017960670793,19227.5224,14767.9931,91,1.20-discrimination-based + Wilcoxon 10100%,3,43,8
1,False,False,0.0365906899985486,41000.9732,14767.9931,16,1.20-discrimination-based + Wilcoxon 10100%,4,43,8
2,False,False,1.0365499645121575e-06,19294.7766,14767.9931,6,1.20-discrimination-based + Wilcoxon 10100%,5,43,8
3,False,False,1.267020608778177e-06,17442.4945,14767.9931,8,1.20-discrimination-based + Wilcoxon 10100%,6,43,8
4,False,False,0.014363225457445,41784.4099,14767.9931,12,1.20-discrimination-based + Wilcoxon 10100%,8,43,8
5,False,False,0.0017915040992514,18070.0675,14767.9931,83,1.20-discrimination-based + Wilcoxon 10100%,10,43,8
6,False,False,9.218586390966982e-07,29939.514400000004,14767.9931,8,1.20-discrimination-based + Wilcoxon 10100%,11,43,8
7,False,False,0.0065172615739253,17661.758500000004,14767.9931,98,1.20-discrimination-based + Wilcoxon 10100%,12,43,8
8,False,False,6.682327759606944e-07,41751.9179,14767.9931,7,1.20-discrimination-based + Wilcoxon 10100%,13,43,8
9,False,False,0.0016748350911066,17717.207000000002,14767.9931,82,1.20-discrimination-based + Wilcoxon 10100%,14,43,8
10,False,False,0.0287275071762299,41784.788100000005,14767.9931,14,1.20-discrimination-based + Wilcoxon 10100%,15,43,8
11,False,False,4.548696819489044e-06,16092.5212,14767.9931,13,1.20-discrimination-based + Wilcoxon 10100%,17,43,8
12,False,False,3.0342842018351013e-06,18818.2768,14767.9931,12,1.20-discrimination-based + Wilcoxon 10100%,20,43,8
13,False,False,0.0001322292804239,16238.4609,14767.9931,40,1.20-discrimination-based + Wilcoxon 10100%,22,43,8
14,False,False,0.0428057110864698,42062.9667,14767.9931,18,1.20-discrimination-based + Wilcoxon 10100%,23,43,8
15,False,False,0.004581059250089,17537.7998,14767.9931,92,1.20-discrimination-based + Wilcoxon 10100%,24,43,8
16,False,False,1.3341683524025736e-06,17613.968999999997,14767.9931,8,1.20-discrimination-based + Wilcoxon 10100%,26,43,8
17,False,False,0.0213943155563389,42073.704,14767.9931,13,1.20-discrimination-based + Wilcoxon 10100%,28,43,8
18,False,False,0.0365856283192519,41004.2131,14767.9931,16,1.20-discrimination-based + Wilcoxon 10100%,30,43,8
19,False,False,0.0052841998592033,18201.1473,14767.9931,94,1.20-discrimination-based + Wilcoxon 10100%,31,43,8
20,False,False,2.697226630599327e-06,16053.5268,14767.9931,11,1.20-discrimination-based + Wilcoxon 10100%,32,43,8
